title,Type,Episodes,Status,Premiered,Released_Season,Released_Year,Genres,Themes,Studios,Producers,Demographic,Rating,Score,Ranked,Popularity,Members,Favorites
One Room,TV,12,Finished Airing,Winter 2017,Winter,2017.0,Slice of Life,,Typhoon Graphics,SMIRAL Animation,,PG-13 - Teens 13 or older,5.56,12370.0,1884.0,134685.0,166.0
Room Mate,TV,12,Finished Airing,Spring 2017,Spring,2017.0,Slice of Life,,Typhoon Graphics,SMIRAL Animation,,PG-13 - Teens 13 or older,4.73,14026.0,4603.0,28693.0,52.0
Yuuki Yuuna wa Yuushabu Shozoku,Movie,1,Finished Airing,,,,Comedy,,W-Toon Studio,add some,,PG-13 - Teens 13 or older,6.42,7852.0,9069.0,5330.0,5.0
Taimanin Asagi 3,OVA,2,Finished Airing,,,,"Supernatural, Hentai",,Studio Eromatick,ZIZ Entertainment (ZIZ),,Rx - Hentai,6.51,,7572.0,8377.0,47.0
Love Kome: We Love Rice,TV,12,Finished Airing,Spring 2017,Spring,2017.0,"Comedy, Gourmet","Parody, School",Encourage Films,"Just Production, Kanetsu Investment",,PG-13 - Teens 13 or older,4.66,14086.0,6507.0,12066.0,13.0
Hajimete no Gal,TV,10,Finished Airing,Summer 2017,Summer,2017.0,"Comedy, Romance, Ecchi","Harem, School",NAZ,"AT-X, KlockWorx, Toranoana, MAGES., Glovision, Kadokawa Media House, Sun TV, Kanetsu Investment, Kadokawa",Shounen,PG-13 - Teens 13 or older,6.27,8721.0,417.0,585975.0,1752.0
Chuuko Video-ya no Onna Tenin X,ONA,1,Finished Airing,,,,Comedy,Workplace,add some,add some,Shounen,PG-13 - Teens 13 or older,5.23,13356.0,15243.0,896.0,0.0
Balala Xiao Mo Xian: Feiyue Cai Ling Bao,TV,26,Finished Airing,Fall 2016,Fall,2016.0,"Comedy, Fantasy",Mahou Shoujo,Qianqi Animation,"B.CMAY PICTURES, Alpha Group",,PG - Children,6.05,9988.0,14147.0,1193.0,2.0
Taishou Mebiusline: Chicchai-san,TV,12,Finished Airing,Fall 2017,Fall,2017.0,Supernatural,Historical,Studio A-CAT,add some,,PG-13 - Teens 13 or older,4.74,14022.0,6222.0,13462.0,22.0
Nanbaka 2,ONA,12,Finished Airing,,,,"Action, Comedy, Drama",,Satelight,"Nihon Ad Systems, DAX Production, Sony Music Communications, Crunchyroll, comico, Tokuma Japan Communications, Nelke Planning",,PG-13 - Teens 13 or older,7.49,2097.0,1801.0,141602.0,399.0
The Snack World: Hitogirai no Renny,Movie,1,Finished Airing,,,,"Adventure, Comedy, Fantasy",,"OLM, OLM Digital",Level-5,Kids,G - All Ages,,15606.0,18920.0,420.0,0.0
Isekai Izakaya: Koto Aitheria no Izakaya Nobu,ONA,24,Finished Airing,,,,Gourmet,"Adult Cast, Isekai, Workplace",Sunrise,Kadokawa,,PG-13 - Teens 13 or older,7.49,2088.0,3480.0,49841.0,200.0
