title,Type,Episodes,Status,Premiered,Released_Season,Released_Year,Genres,Themes,Studios,Producers,Demographic,Rating,Score,Ranked,Popularity,Members,Favorites
Cowboy Bebop,TV,26,Finished Airing,Spring 1998,Spring,1998.0,"Action, Award Winning, Sci-Fi","Adult Cast, Space",Sunrise,"Bandai Visual, Victor Entertainment, Audio Planning U",,R - 17+ (violence & profanity),8.75,48.0,42.0,2008019.0,87916.0
Cowboy Bebop: Tengoku no Tobira,Movie,1.0,Finished Airing,,,,"Action, Sci-Fi","Adult Cast, Space",Bones,"Sunrise, Bandai Visual",,R - 17+ (violence & profanity),8.38,232.0,649.0,403604.0,1748.0
Trigun,TV,26,Finished Airing,Spring 1998,Spring,1998.0,"Action, Adventure, Sci-Fi",Adult Cast,Madhouse,"Victor Entertainment, Arts Pro",Shounen,PG-13 - Teens 13 or older,8.22,385.0,265.0,815140.0,17193.0
Witch Hunter Robin,TV,26.0,Finished Airing,Summer 2002,Summer,2002.0,"Action, Drama, Mystery, Supernatural",Detective,Sunrise,"Bandai Visual, Dentsu, Victor Entertainment",,PG-13 - Teens 13 or older,7.23,3344.0,1979.0,125868.0,686.0
Bouken Ou Beet,TV,52,Finished Airing,Fall 2004,Fall,2004.0,"Action, Adventure, Fantasy",,Toei Animation,"TV Tokyo, Dentsu",Shounen,PG - Children,6.92,4887.0,5765.0,16456.0,18.0
Eyeshield 21,TV,145,Finished Airing,Spring 2005,Spring,2005.0,Sports,Team Sports,Gallop,"TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha",Shounen,PG-13 - Teens 13 or older,7.91,845.0,1390.0,193542.0,2100.0
Hachimitsu to Clover,TV,24,Finished Airing,Spring 2005,Spring,2005.0,"Comedy, Drama, Romance","Adult Cast, Love Polygon, Visual Arts",J.C.Staff,"Dentsu, Genco, Fuji TV, Asmik Ace, Shueisha",Josei,PG-13 - Teens 13 or older,7.98,727.0,959.0,281693.0,4191.0
Hungry Heart: Wild Striker,TV,52.0,Finished Airing,Fall 2002,Fall,2002.0,Sports,Team Sports,Nippon Animation,add some,Shounen,PG-13 - Teens 13 or older,7.54,1905.0,4767.0,26482.0,246.0
Initial D Fourth Stage,TV,24,Finished Airing,Spring 2004,Spring,2004.0,"Action, Drama",Racing,A.C.G.T.,OB Planning,Seinen,PG-13 - Teens 13 or older,8.17,453.0,1291.0,208845.0,1397.0
Monster,TV,74,Finished Airing,Spring 2004,Spring,2004.0,"Drama, Mystery, Suspense","Adult Cast, Psychological",Madhouse,"VAP, Nippon Television Network, Arts Pro",Seinen,R+ - Mild Nudity,8.89,25.0,119.0,1274315.0,59652.0
Naruto,TV,220,Finished Airing,Fall 2002,Fall,2002.0,"Action, Adventure, Fantasy",Martial Arts,Studio Pierrot,"TV Tokyo, Aniplex",Shounen,PG-13 - Teens 13 or older,8.01,690.0,9.0,3046686.0,84673.0
One Piece,TV,Unknown,Currently Airing,Fall 1999,Fall,1999.0,"Action, Adventure, Fantasy",,Toei Animation,"Fuji TV, TAP",Shounen,PG-13 - Teens 13 or older,8.73,53.0,17.0,2594576.0,244671.0
Tennis no Oujisama,,,,,,,,,,,,,7.84,,,,
Ring ni Kakero 1,TV,12.0,Finished Airing,Fall 2004,Fall,2004.0,Sports,Combat Sports,Toei Animation,add some,Shounen,PG - Children,6.35,8191.0,8944.0,5539.0,4.0
School Rumble,TV,26.0,Finished Airing,Fall 2004,Fall,2004.0,"Comedy, Romance","Gag Humor, Love Polygon, School",Studio Comet,"TV Tokyo, Sotsu, Marvelous Entertainment, Starchild Records, Media Factory, DAX Production",Shounen,PG-13 - Teens 13 or older,7.88,901.0,782.0,341484.0,5360.0
Sunabouzu,TV,24.0,Finished Airing,Fall 2004,Fall,2004.0,"Action, Adventure, Comedy, Sci-Fi, Ecchi",,Gonzo,"GDH, Pony Canyon, CBC Television, Omnibus Promotion, RKB Mainichi Broadcasting Corporation",Seinen,R - 17+ (violence & profanity),7.36,2635.0,1725.0,149022.0,871.0
Texhnolyze,TV,22.0,Finished Airing,Spring 2003,Spring,2003.0,"Avant Garde, Drama, Mystery, Sci-Fi, Suspense","Adult Cast, Organized Crime, Psychological",Madhouse,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC, Rakuonsha, Geneon Entertainment USA",,R+ - Mild Nudity,7.75,1210.0,969.0,279230.0,5527.0
Trinity Blood,TV,24,Finished Airing,Spring 2005,Spring,2005.0,"Action, Fantasy, Sci-Fi",Vampire,Gonzo,add some,,R - 17+ (violence & profanity),7.28,3013.0,1375.0,196173.0,1392.0
Yakitate!! Japan,TV,69,Finished Airing,Fall 2004,Fall,2004.0,"Comedy, Gourmet",,Sunrise,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Shounen,PG-13 - Teens 13 or older,7.91,839.0,2263.0,103986.0,940.0
Zipang,TV,26,Finished Airing,Fall 2004,Fall,2004.0,"Action, Drama, Sci-Fi","Adult Cast, Historical, Military, Time Travel",Studio Deen,"Marvelous Entertainment, Animax, Pony Canyon, TBS",Seinen,PG-13 - Teens 13 or older,7.49,2073.0,4899.0,24834.0,201.0
Shinseiki Evangelion,TV,26,Finished Airing,Fall 1995,Fall,1995.0,"Avant Garde, Award Winning, Drama, Sci-Fi, Suspense","Mecha, Psychological","Gainax, Tatsunoko Production","TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka",,PG-13 - Teens 13 or older,8.36,251.0,45.0,1971275.0,114585.0
Shinseiki Evangelion Movie: Shi to Shinsei,Movie,1,Finished Airing,,,,"Drama, Sci-Fi, Suspense","Mecha, Psychological","Gainax, Production I.G, Tatsunoko Production","TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka",,R - 17+ (violence & profanity),7.49,2066.0,983.0,275814.0,790.0
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Movie,1,Finished Airing,,,,"Avant Garde, Drama, Sci-Fi, Suspense","Mecha, Psychological","Gainax, Production I.G","TV Tokyo, Toei Animation, Starchild Records, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, King Records, Audio Tanaka",,R+ - Mild Nudity,8.56,117.0,178.0,1011478.0,31480.0
Kenpuu Denki Berserk,TV,25,Finished Airing,Fall 1997,Fall,1997.0,"Action, Adventure, Drama, Fantasy, Horror","Gore, Military, Psychological",OLM,"VAP, Hakusensha, Nippon Television Network",Seinen,R+ - Mild Nudity,8.61,103.0,300.0,740408.0,30748.0
Koukaku Kidoutai,Movie,1.0,Finished Airing,,,,"Award Winning, Mystery, Sci-Fi, Suspense","Adult Cast, Detective, Mecha, Psychological",Production I.G,"Bandai Visual, Kodansha",Seinen,R+ - Mild Nudity,8.27,326.0,342.0,686320.0,13988.0
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,Finished Airing,,,,"Action, Drama, Romance","Adult Cast, Historical, Samurai",Studio Deen,Aniplex,Shounen,R - 17+ (violence & profanity),8.69,69.0,931.0,289443.0,6411.0
Rurouni Kenshin: Meiji Kenkaku Romantan,TV,94,Finished Airing,Winter 1996,Winter,1996.0,"Action, Comedy, Romance","Historical, Samurai","Gallop, Studio Deen","Aniplex, SME Visual Works, Fuji TV",Shounen,PG-13 - Teens 13 or older,8.28,318.0,476.0,518816.0,10316.0
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Movie,1,Finished Airing,,,,Drama,"Historical, Samurai",Gallop,"Fuji TV, Sony Music Entertainment",Shounen,R - 17+ (violence & profanity),7.55,1821.0,3292.0,54883.0,97.0
Akira,Movie,1,Finished Airing,,,,"Action, Horror, Sci-Fi","Gore, Military, Super Power",Tokyo Movie Shinsha,"Mainichi Broadcasting System, Kodansha, Pioneer LDC, Bandai, TOHO, Sumitomo, Hakuhodo",Seinen,R+ - Mild Nudity,8.16,476.0,208.0,932249.0,14695.0
.hack//Sign,TV,26.0,Finished Airing,Spring 2002,Spring,2002.0,"Adventure, Fantasy, Mystery",Video Game,Bee Train,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2",,PG-13 - Teens 13 or older,6.94,4806.0,1402.0,191705.0,1462.0
Aa! Megami-sama!,OVA,5,Finished Airing,,,,"Comedy, Romance, Supernatural",,AIC,"Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",Seinen,PG-13 - Teens 13 or older,7.28,3020.0,3206.0,57431.0,263.0
Aa! Megami-sama! (TV),TV,24,Finished Airing,Winter 2005,Winter,2005.0,"Comedy, Romance, Supernatural",,AIC,"Bandai Visual, TBS, Imagine",Seinen,PG-13 - Teens 13 or older,7.31,2878.0,1586.0,167424.0,1158.0
Tenshi Kinryouku,OVA,3,Finished Airing,,,,"Action, Drama, Romance, Supernatural",Reincarnation,HAL Film Maker,"Bandai Visual, Lantis, Audio Tanaka",Shoujo,R+ - Mild Nudity,6.24,8915.0,3410.0,51871.0,187.0
Kidou Tenshi Angelic Layer,TV,26.0,Finished Airing,Spring 2001,Spring,2001.0,"Award Winning, Comedy, Drama, Sci-Fi",Strategy Game,Bones,"Dentsu, TV Tokyo Music",Shounen,PG-13 - Teens 13 or older,7.26,3152.0,3094.0,61816.0,328.0
Ai Yori Aoshi,TV,24.0,Finished Airing,Spring 2002,Spring,2002.0,"Comedy, Drama, Romance",Harem,J.C.Staff,"Movic, Fuji TV, Pioneer LDC, Cosmic Ray",Seinen,PG-13 - Teens 13 or older,7.1,4042.0,2114.0,115767.0,474.0
Appleseed (Movie),,,,,,,,,,,,,7.05,,,,
Arc the Lad,TV,26,Finished Airing,Spring 1999,Spring,1999.0,"Action, Adventure, Fantasy, Horror, Sci-Fi",,Bee Train,"Sony Pictures Entertainment, Aniplex, Sony Interactive Entertainment",,R - 17+ (violence & profanity),6.48,7407.0,5599.0,17803.0,15.0
Avenger,TV,13.0,Finished Airing,Fall 2003,Fall,2003.0,"Adventure, Fantasy, Sci-Fi",,Bee Train,Yomiko Advertising,,R - 17+ (violence & profanity),5.85,11041.0,5472.0,18984.0,22.0
Beck,TV,26.0,Finished Airing,Fall 2004,Fall,2004.0,Drama,Music,Madhouse,"Marvelous Entertainment, Starchild Records, Asatsu DK, Kodansha, DefSTAR Records",Shounen,R - 17+ (violence & profanity),8.29,305.0,723.0,367262.0,9039.0
Blue Gender,TV,26,Finished Airing,Fall 1999,Fall,1999.0,"Adventure, Drama, Horror, Sci-Fi","Gore, Mecha, Military, Space, Survival",AIC,"Youmex, Toshiba EMI",,R+ - Mild Nudity,7.01,4497.0,2520.0,87619.0,451.0
Chobits,TV,26.0,Finished Airing,Spring 2002,Spring,2002.0,"Comedy, Drama, Romance, Sci-Fi, Ecchi",,Madhouse,"TBS, Pioneer LDC",Seinen,PG-13 - Teens 13 or older,7.39,2515.0,489.0,506803.0,4270.0
Chrno Crusade,TV,24,Finished Airing,Fall 2003,Fall,2003.0,"Action, Romance, Supernatural","Historical, Mythology",Gonzo,"Lantis, Kadokawa Shoten, Fuji TV",Shounen,R - 17+ (violence & profanity),7.6,1667.0,1161.0,235075.0,1956.0
D.N.Angel,TV,26.0,Finished Airing,Spring 2003,Spring,2003.0,"Action, Comedy, Fantasy, Romance",School,Xebec,Kadokawa Shoten,Shoujo,PG-13 - Teens 13 or older,7.15,3791.0,1413.0,190321.0,1294.0
D.C.: Da Capo,TV,26.0,Finished Airing,Summer 2003,Summer,2003.0,"Drama, Romance",Harem,"feel., Zexcs","Lantis, King Records",,PG-13 - Teens 13 or older,6.7,6115.0,2696.0,78564.0,197.0
DearS,TV,12.0,Finished Airing,Summer 2004,Summer,2004.0,"Comedy, Romance, Sci-Fi, Ecchi",Harem,Daume,"Bandai Visual, HAL Film Maker, Genco, Lantis",Shounen,R+ - Mild Nudity,6.54,7050.0,1676.0,155226.0,363.0
Rozen Maiden,TV,12.0,Finished Airing,Fall 2004,Fall,2004.0,"Action, Drama, Supernatural",,Nomad,"Mellow Head, Pony Canyon, TBS, Memory-Tech",Seinen,PG-13 - Teens 13 or older,7.4,2436.0,1254.0,216362.0,2102.0
Rozen Maiden: Träumend,TV,12,Finished Airing,Fall 2005,Fall,2005.0,"Action, Drama, Supernatural",,Nomad,"Mellow Head, TBS",Seinen,PG-13 - Teens 13 or older,7.61,1599.0,2177.0,110025.0,487.0
Azumanga Daiou The Animation,TV,26.0,Finished Airing,Spring 2002,Spring,2002.0,Comedy,"CGDCT, Gag Humor, School",J.C.Staff,"Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records",,PG-13 - Teens 13 or older,8.07,588.0,634.0,411009.0,8985.0
Basilisk: Kouga Ninpou Chou,TV,24,Finished Airing,Spring 2005,Spring,2005.0,"Action, Drama, Romance","Adult Cast, Gore, Historical, Martial Arts, Samurai",Gonzo,"GDH, Kodansha, Sotsu Music Publishing, Future Vision Music",Seinen,R - 17+ (violence & profanity),7.53,1911.0,1347.0,200182.0,1455.0
Black Cat,TV,23,Finished Airing,Fall 2005,Fall,2005.0,"Action, Adventure, Sci-Fi",Super Power,Gonzo,"GDH, Dentsu, TBS, Sotsu Music Publishing, Future Vision Music",Shounen,PG-13 - Teens 13 or older,7.31,2886.0,964.0,280179.0,1838.0
Cluster Edge,TV,25,Finished Airing,Fall 2005,Fall,2005.0,"Action, Fantasy, Sci-Fi",Military,Sunrise,"Bandai Visual, Imagine",,PG-13 - Teens 13 or older,6.31,8490.0,6582.0,11773.0,15.0
Full Metal Panic!,TV,24.0,Finished Airing,Winter 2002,Winter,2002.0,"Comedy, Sci-Fi","Mecha, Military",Gonzo,"Kadokawa Shoten, KlockWorx",,R - 17+ (violence & profanity),7.59,1687.0,471.0,521299.0,4448.0
Full Metal Panic? Fumoffu,TV,12.0,Finished Airing,Summer 2003,Summer,2003.0,"Action, Comedy","Gag Humor, School",Kyoto Animation,"Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do",,PG-13 - Teens 13 or older,8.02,676.0,888.0,307873.0,3006.0
Full Metal Panic! The Second Raid,TV,13,Finished Airing,Summer 2005,Summer,2005.0,Sci-Fi,"Mecha, Military",Kyoto Animation,"WOWOW, Kadokawa Shoten, KlockWorx, Happinet Pictures",,R - 17+ (violence & profanity),7.91,847.0,1003.0,270494.0,1298.0
Gakuen Alice,TV,26,Finished Airing,Fall 2004,Fall,2004.0,Comedy,"School, Super Power",Group TAC,"Aniplex, Sogo Vision",Shoujo,G - All Ages,7.64,1531.0,2238.0,105442.0,1507.0
Soukyuu no Fafner: Dead Aggressor,TV,25.0,Finished Airing,Summer 2004,Summer,2004.0,"Drama, Sci-Fi","Mecha, Military",Xebec,"TV Tokyo Music, King Records",,PG-13 - Teens 13 or older,7.25,3185.0,3407.0,51942.0,276.0
Mahou Shoujo Lyrical Nanoha,TV,13.0,Finished Airing,Fall 2004,Fall,2004.0,"Action, Comedy, Drama",Mahou Shoujo,Seven Arcs,"Starchild Records, Omnibus Promotion",,PG-13 - Teens 13 or older,7.41,2412.0,2188.0,109131.0,1078.0
Mahou Shoujo Lyrical Nanoha A's,TV,13,Finished Airing,Fall 2005,Fall,2005.0,"Action, Comedy, Drama",Mahou Shoujo,Seven Arcs,"Starchild Records, Omnibus Promotion",,PG-13 - Teens 13 or older,7.95,772.0,2925.0,68667.0,1016.0
Shuffle!,TV,24,Finished Airing,Summer 2005,Summer,2005.0,"Comedy, Fantasy, Romance, Ecchi","Harem, School, Urban Fantasy",asread.,"Xebec, Lantis, Kadokawa Shoten, KlockWorx, Memory-Tech",,R+ - Mild Nudity,7.0,4547.0,930.0,289475.0,1478.0
Kidou Senshi Gundam,TV,43.0,Finished Airing,Spring 1979,Spring,1979.0,"Drama, Sci-Fi","Mecha, Military, Space",Sunrise,"Sotsu, Nagoya Broadcasting Network",,PG-13 - Teens 13 or older,7.77,1160.0,1745.0,147429.0,2561.0
Kidou Senshi Gundam: Dai 08 MS Shoutai,OVA,12,Finished Airing,,,,"Adventure, Drama, Romance, Sci-Fi","Mecha, Military",Sunrise,Atelier Musa,,PG-13 - Teens 13 or older,7.99,712.0,2441.0,91995.0,1192.0
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,OVA,6,Finished Airing,,,,"Drama, Sci-Fi","Mecha, Military, Space",Sunrise,Bandai Visual,,PG-13 - Teens 13 or older,8.0,708.0,2939.0,68105.0,1173.0
Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,Movie,1,Finished Airing,,,,"Drama, Romance, Sci-Fi","Mecha, Military",Sunrise,"Sotsu, Atelier Musa",,PG-13 - Teens 13 or older,6.74,5866.0,6005.0,14723.0,5.0
Kidou Senshi Gundam 0083: Stardust Memory,OVA,13,Finished Airing,,,,"Adventure, Drama, Romance, Sci-Fi","Mecha, Military, Space",Sunrise,Bandai Visual,,PG-13 - Teens 13 or older,7.21,3410.0,3460.0,50400.0,272.0
Kidou Senshi Zeta Gundam,TV,50.0,Finished Airing,Spring 1985,Spring,1985.0,"Drama, Romance, Sci-Fi","Mecha, Military, Space",Sunrise,"Sotsu, Nagoya Broadcasting Network",,PG-13 - Teens 13 or older,7.89,888.0,2571.0,85067.0,2579.0
Kidou Senshi Gundam ZZ,TV,47.0,Finished Airing,Spring 1986,Spring,1986.0,"Comedy, Drama, Sci-Fi","Mecha, Military, Space",Sunrise,"Sotsu, Nagoya Broadcasting Network",,PG-13 - Teens 13 or older,6.68,6240.0,3493.0,49503.0,199.0
Kidou Senshi Gundam: Gyakushuu no Char,Movie,1,Finished Airing,,,,"Drama, Sci-Fi","Mecha, Military, Space",Sunrise,"Sotsu, Nozomi Entertainment, Atelier Musa",,PG-13 - Teens 13 or older,7.69,1375.0,3224.0,56977.0,582.0
Kidou Senshi Gundam F91,Movie,1,Finished Airing,,,,"Drama, Sci-Fi","Mecha, Military, Space",Sunrise,"Sotsu, Shochiku, Atelier Musa, Nagoya Broadcasting Network",,PG-13 - Teens 13 or older,6.59,6779.0,4103.0,36708.0,87.0
Kidou Senshi Victory Gundam,TV,51,Finished Airing,Spring 1993,Spring,1993.0,"Drama, Sci-Fi","Mecha, Military, Space",Sunrise,"TV Asahi, Sotsu, Apollon",,PG-13 - Teens 13 or older,6.71,6048.0,4417.0,31307.0,156.0
Shin Kidou Senki Gundam Wing,,,,,,,,,,,,,7.66,,,,
Shin Kidou Senki Gundam Wing: Endless Waltz,OVA,3,Finished Airing,,,,"Award Winning, Drama, Sci-Fi","Mecha, Military, Space",Sunrise,"Bandai Visual, Sotsu",,PG-13 - Teens 13 or older,7.73,1263.0,3441.0,50929.0,180.0
Kidou Shinseiki Gundam X,TV,39,Finished Airing,Spring 1996,Spring,1996.0,"Adventure, Drama, Sci-Fi","Mecha, Space",Sunrise,"TV Asahi, Sotsu",,PG-13 - Teens 13 or older,7.34,2744.0,3953.0,39600.0,237.0
Kidou Senshi Gundam SEED,TV,50.0,Finished Airing,Fall 2002,Fall,2002.0,"Award Winning, Drama, Romance, Sci-Fi","Mecha, Military, Space",Sunrise,"Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa",,R - 17+ (violence & profanity),7.73,1278.0,1465.0,182293.0,3712.0
Kidou Senshi Gundam SEED Destiny,TV,50,Finished Airing,Fall 2004,Fall,2004.0,"Drama, Romance, Sci-Fi","Mecha, Military, Space",Sunrise,"Sotsu, Mainichi Broadcasting System, Sony Music Entertainment",,R - 17+ (violence & profanity),7.17,3657.0,2118.0,115416.0,1149.0
Turn A Gundam,TV,50,Finished Airing,Spring 1999,Spring,1999.0,"Adventure, Award Winning, Drama, Romance, Sci-Fi","Mecha, Military, Space",Sunrise,"Sotsu, Fuji TV, Nakamura Production",,PG-13 - Teens 13 or older,7.8,1104.0,3319.0,54098.0,1202.0
Kidou Butouden G Gundam,TV,49,Finished Airing,Spring 1994,Spring,1994.0,"Drama, Romance, Sci-Fi","Martial Arts, Mecha, Space",Sunrise,"TV Asahi, Sotsu",,PG-13 - Teens 13 or older,7.58,1735.0,2792.0,74264.0,1098.0
Last Exile,TV,26.0,Finished Airing,Spring 2003,Spring,2003.0,"Action, Adventure, Sci-Fi",,Gonzo,"GDH, Victor Entertainment, TV Tokyo Music",,PG-13 - Teens 13 or older,7.78,1137.0,1451.0,184183.0,1919.0
Mai-HiME,TV,26,Finished Airing,Fall 2004,Fall,2004.0,"Action, Fantasy, Girls Love","Mahou Shoujo, School",Sunrise,"Bandai Visual, TV Tokyo Music, Studio Zain",,PG-13 - Teens 13 or older,7.39,2496.0,2043.0,120612.0,1148.0
Mai-Otome,TV,26,Finished Airing,Fall 2005,Fall,2005.0,"Comedy, Drama, Fantasy",,Sunrise,"Bandai Visual, Lantis, TV Tokyo Music",,PG-13 - Teens 13 or older,7.27,3075.0,3341.0,53659.0,312.0
Shin Shirayuki-hime Densetsu Prétear,TV,13.0,Finished Airing,Spring 2001,Spring,2001.0,"Drama, Romance","Mahou Shoujo, Reverse Harem",HAL Film Maker,"Kadokawa Shoten, Rondo Robe",Shoujo,PG-13 - Teens 13 or older,7.15,3770.0,2945.0,67947.0,459.0
Air,TV,12.0,Finished Airing,Winter 2005,Winter,2005.0,"Drama, Romance, Supernatural",,Kyoto Animation,"Pony Canyon, TBS, Movic",,PG-13 - Teens 13 or older,7.27,3099.0,883.0,309253.0,2707.0
Aishiteruze Baby★★,TV,26.0,Finished Airing,Spring 2004,Spring,2004.0,"Comedy, Drama, Romance",Childcare,TMS Entertainment,"Animax, Toei Video",Shoujo,PG-13 - Teens 13 or older,7.43,2310.0,2222.0,106721.0,562.0
Akazukin Chacha,TV,74,Finished Airing,Winter 1994,Winter,1994.0,"Adventure, Comedy, Fantasy, Romance",Mahou Shoujo,Gallop,"Nihon Ad Systems, Shueisha",Shoujo,G - All Ages,7.41,2396.0,5628.0,17554.0,104.0
Ayashi no Ceres,TV,24,Finished Airing,Spring 2000,Spring,2000.0,"Adventure, Drama, Horror, Romance, Supernatural","Psychological, Reincarnation",Studio Pierrot,"Bandai Visual, Shogakukan",Shoujo,R - 17+ (violence & profanity),7.17,3640.0,2996.0,65602.0,499.0
Boys Be...,TV,13,Finished Airing,Spring 2000,Spring,2000.0,"Comedy, Romance",School,HAL Film Maker,add some,Shounen,PG-13 - Teens 13 or older,6.38,8051.0,4870.0,25218.0,47.0
Hana yori Dango,TV,51,Finished Airing,Fall 1996,Fall,1996.0,"Drama, Romance","Love Polygon, School",Toei Animation,"Asatsu DK, Asahi Broadcasting",Shoujo,PG-13 - Teens 13 or older,7.56,1793.0,2987.0,66100.0,829.0
Ou Dorobou Jing,TV,13.0,Finished Airing,Spring 2002,Spring,2002.0,"Adventure, Comedy, Fantasy, Sci-Fi",,Studio Deen,Aniplex,Shounen,PG-13 - Teens 13 or older,7.17,3669.0,3946.0,39735.0,212.0
Ou Dorobou Jing in Seventh Heaven,OVA,3.0,Finished Airing,,,,"Adventure, Comedy, Fantasy",Psychological,Studio Deen,Aniplex,Shounen,PG-13 - Teens 13 or older,7.23,3331.0,6203.0,13574.0,26.0
Bakuretsu Tenshi,TV,24.0,Finished Airing,Spring 2004,Spring,2004.0,"Adventure, Sci-Fi",Mecha,Gonzo,"GDH, TV Asahi, Imagica",,PG-13 - Teens 13 or older,6.77,5675.0,2775.0,75072.0,241.0
Chuuka Ichiban!,TV,52,Finished Airing,Spring 1997,Spring,1997.0,"Action, Comedy, Drama, Gourmet",,Nippon Animation,add some,Shounen,PG-13 - Teens 13 or older,7.59,1682.0,5208.0,21453.0,124.0
Corrector Yui,TV,52,Finished Airing,Spring 1999,Spring,1999.0,"Adventure, Comedy, Sci-Fi",,Nippon Animation,"NHK, Studio Tron",,G - All Ages,6.86,5200.0,5490.0,18809.0,67.0
Chou Henshin Cosprayers,TV,8,Finished Airing,Winter 2004,Winter,2004.0,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Ecchi",Super Power,"Imagin, Studio Live",m.o.e.,,PG-13 - Teens 13 or older,4.82,13939.0,7139.0,9724.0,4.0
Uchuu no Stellvia,TV,26.0,Finished Airing,Spring 2003,Spring,2003.0,"Romance, Sci-Fi","Mecha, Space",Xebec,"Starchild Records, TV Tokyo Music",,PG-13 - Teens 13 or older,7.32,2854.0,4759.0,26635.0,129.0
Sakigake!! Cromartie Koukou,TV,26,Finished Airing,Fall 2003,Fall,2003.0,Comedy,"Delinquents, Gag Humor, Parody, School",Production I.G,TV Tokyo Music,Shounen,PG-13 - Teens 13 or older,7.88,900.0,1702.0,151452.0,1740.0
Ijigen no Sekai El-Hazard,TV,13,Finished Airing,Winter 1998,Winter,1998.0,"Adventure, Comedy, Fantasy",Isekai,AIC,Pioneer LDC,,PG-13 - Teens 13 or older,6.77,5687.0,6305.0,13030.0,10.0
Shinpi no Sekai El-Hazard (TV),,,,,,,,,,,,,6.93,,,,
Shinpi no Sekai El-Hazard,OVA,7,Finished Airing,,,,"Adventure, Comedy, Fantasy, Romance","Crossdressing, Isekai",AIC,"Pioneer LDC, Arts Pro",,PG-13 - Teens 13 or older,7.24,3262.0,5148.0,22054.0,107.0
Shinpi no Sekai El-Hazard Season 2,OVA,4,Finished Airing,,,,"Adventure, Comedy, Fantasy",Isekai,AIC,"Pioneer LDC, Arts Pro",,PG-13 - Teens 13 or older,6.76,5726.0,6979.0,10310.0,6.0
Final Approach,TV,13.0,Finished Airing,Fall 2004,Fall,2004.0,"Comedy, Drama, Romance",,"Trinet Entertainment, Zexcs",add some,,PG-13 - Teens 13 or older,6.5,7314.0,4081.0,37091.0,50.0
Fruits Basket,TV,26,Finished Airing,Summer 2001,Summer,2001.0,"Drama, Romance, Supernatural","Love Polygon, School",Studio Deen,"TV Tokyo, Nihon Ad Systems, King Records",Shoujo,PG-13 - Teens 13 or older,7.69,1394.0,435.0,561334.0,9889.0
Fullmetal Alchemist,TV,51,Finished Airing,Fall 2003,Fall,2003.0,"Action, Adventure, Award Winning, Drama, Fantasy",Military,Bones,"Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System",Shounen,R - 17+ (violence & profanity),8.11,540.0,84.0,1536358.0,26621.0
Full Moon wo Sagashite,TV,52.0,Finished Airing,Spring 2002,Spring,2002.0,"Comedy, Drama, Romance, Supernatural","Music, Showbiz",Studio Deen,"TV Tokyo, Nihon Ad Systems",Shoujo,PG-13 - Teens 13 or older,7.93,810.0,2110.0,116363.0,1891.0
Fushigi Yuugi,TV,52,Finished Airing,Spring 1995,Spring,1995.0,"Action, Adventure, Fantasy, Romance","Historical, Isekai, Martial Arts, Reverse Harem",Studio Pierrot,"TV Tokyo, Yomiko Advertising, Apollon",Shoujo,PG-13 - Teens 13 or older,7.6,1673.0,1964.0,127020.0,2150.0
Fushigi Yuugi: Eikouden,OVA,4,Finished Airing,,,,"Adventure, Drama, Fantasy, Romance",Isekai,Studio Pierrot,add some,Shoujo,PG-13 - Teens 13 or older,6.78,5616.0,5462.0,19076.0,38.0
Futakoi,TV,13.0,Finished Airing,Fall 2004,Fall,2004.0,"Comedy, Romance",School,Telecom Animation Film,Lantis,,PG-13 - Teens 13 or older,6.41,7892.0,4079.0,37154.0,26.0
Futakoi Alternative,TV,13,Finished Airing,Spring 2005,Spring,2005.0,"Comedy, Drama, Romance",,"ufotable, feel., Studio Flag",Lantis,,PG-13 - Teens 13 or older,6.83,5381.0,4315.0,33171.0,85.0
Gate Keepers,TV,24,Finished Airing,Spring 2000,Spring,2000.0,"Comedy, Fantasy, Sci-Fi",Mecha,Gonzo,"Bandai Visual, Media Factory, Kadokawa Shoten, Pony Canyon",,PG-13 - Teens 13 or older,6.9,4991.0,4972.0,23908.0,62.0
